ID      1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      Розподіл
1       1,3     10,9    12,5    14,1    14,1    14,1    14,1    14,1    14,1    15,7    15,7    15,7    15,7    15,7    15,7    15,7    15,7    17,3    17,3    17,3    18,9    0       

2       1,2     5,4     5,4     6,8     8,2     8,2     9,6     9,6     9,6     9,6     9,6     9,6     9,6     9,6     11      11      12,4    12,4    12,4    13,8    15,2    1       

3       1,3     12,5    12,5    12,5    12,5    14,1    14,1    14,1    14,1    14,1    14,1    14,1    14,1    14,1    15,7    15,7    15,7    15,7    15,7    15,7    18,9    0       

4       1,55    9,95    12,05   12,05   12,05   14,15   14,15   14,15   14,15   14,15   14,15   14,15   16,25   18,35   18,35   18,35   18,35   18,35   20,45   22,55   22,55   1       

5       1,1     7,1     8,3     8,3     8,3     8,3     9,5     9,5     9,5     9,5     9,5     10,7    10,7    10,7    10,7    10,7    11,9    11,9    11,9    11,9    13,1    0       

6       1,2     6,8     6,8     6,8     8,2     8,2     9,6     9,6     9,6     9,6     9,6     11      11      11      11      11      12,4    13,8    13,8    15,2    16,6    1       

7       1,7     12,5    14,3    14,3    14,3    14,3    16,1    16,1    16,1    16,1    16,1    16,1    16,1    16,1    17,9    17,9    17,9    17,9    17,9    19,7    19,7    0       

8       1,4     8,6     8,6     8,6     9,8     9,8     9,8     9,8     11      11      11      11      11      11      11      12,2    12,2    12,2    13,4    14,6    14,6    0       

9       1,9     10,7    10,7    12,9    12,9    12,9    15,1    15,1    15,1    15,1    15,1    15,1    17,3    17,3    17,3    17,3    17,3    19,5    21,7    23,9    26,1    1       

10      1,75    13,15   13,15   13,15   15,05   15,05   15,05   15,05   16,95   16,95   16,95   16,95   18,85   18,85   18,85   18,85   18,85   20,75   20,75   20,75   22,65   0       

11      1,4     9,8     11      11      11      11      11      11      12,2    12,2    12,2    12,2    12,2    12,2    12,2    13,4    13,4    13,4    13,4    13,4    14,6    0       

12      1,5     7,5     8,5     8,5     8,5     9,5     9,5     9,5     9,5     10,5    10,5    10,5    10,5    10,5    11,5    11,5    11,5    11,5    11,5    12,5    12,5    0       

13      1,85    13,75   13,75   13,75   15,45   15,45   15,45   15,45   15,45   15,45   15,45   15,45   17,15   17,15   17,15   17,15   17,15   17,15   18,85   18,85   20,55   0       

14      1,5     5,5     6,5     6,5     7,5     7,5     8,5     8,5     8,5     8,5     8,5     9,5     9,5     9,5     9,5     9,5     10,5    10,5    10,5    11,5    12,5    1       

15      2,85    13,05   13,05   13,05   13,05   14,75   16,45   16,45   16,45   16,45   16,45   16,45   16,45   18,15   18,15   18,15   18,15   18,15   18,15   19,85   19,85   0       

16      2,95    8,65    12,45   12,45   14,35   14,35   14,35   14,35   14,35   16,25   16,25   16,25   18,15   18,15   18,15   18,15   18,15   20,05   20,05   21,95   23,85   1       

17      3,55    5,75    7,95    7,95    7,95    9,05    9,05    9,05    9,05    9,05    9,05    10,15   10,15   10,15   10,15   10,15   11,25   11,25   11,25   12,35   14,55   1       

18      4,45    8,05    8,05    8,95    8,95    9,85    10,75   10,75   10,75   11,65   11,65   11,65   11,65   11,65   11,65   11,65   12,55   12,55   12,55   13,45   14,35   1       

19      5,65    10,85   12,15   13,45   14,75   16,05   16,05   16,05   16,05   16,05   16,05   17,35   17,35   17,35   17,35   17,35   18,65   18,65   18,65   18,65   18,65   0       

20      6,3     6,9     8,1     8,1     9,9     10,5    10,5    10,5    10,5    11,1    11,1    11,1    11,1    11,7    11,7    12,3    12,3    12,9    12,9    12,9    13,5    1       

21      3,9     4,5     4,5     4,5     5,1     5,7     5,7     6,3     6,3     6,3     6,3     6,3     6,3     6,3     6,9     6,9     6,9     8,1     9,3     9,9     10,5    1       

22      8,6     11      13,4    14,6    14,6    15,8    15,8    15,8    15,8    15,8    17      17      17      17      17      18,2    19,4    19,4    19,4    21,8    21,8    1       

23      9,2     9,2     10,4    10,8    11,2    11,2    11,6    11,6    11,6    11,6    12      12      12      12      12,4    12,4    12,8    12,8    13,2    14      14      1       

24      2,85    3,55    3,55    4,25    4,25    4,95    4,95    4,95    5,65    5,65    5,65    5,65    5,65    7,05    7,75    7,75    7,75    7,75    7,75    8,45    9,85    1       

