ID      1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      Розподіл
1       4,716   4,716   4,716   4,716   13,516  13,516  22,316  31,116  31,116  31,116  31,116  57,516  57,516  75,116  75,116  83,916  83,916  83,916  92,716  92,716  101,516 1       

2       0,107   0,107   0,107   0,107   0,107   0,107   0,107   0,107   0,107   0,307   0,307   0,307   0,307   0,507   0,507   0,707   0,707   0,907   0,907   0,907   1,907   0       

3       5,262   5,262   5,262   13,762  22,262  22,262  22,262  39,262  39,262  39,262  39,262  47,762  47,762  56,262  64,762  64,762  73,262  73,262  73,262  81,762  98,762  1       

4       0,064   0,064   0,064   0,064   0,164   0,164   0,164   0,164   0,264   0,264   0,264   0,264   0,264   0,364   0,464   0,464   0,564   0,664   0,864   0,864   1,564   0       

5       8,1     8,1     8,1     8,1     8,1     25,1    33,6    50,6    50,6    50,6    50,6    59,1    59,1    67,6    67,6    67,6    67,6    76,1    93,1    93,1    101,6   1       

6       0,056   0,056   0,056   0,056   0,156   0,156   0,156   0,156   0,156   0,156   0,256   0,256   0,256   0,256   0,356   0,456   0,756   0,756   0,756   1,056   1,056   1       

7       6,308   6,308   6,308   14,808  14,808  31,808  31,808  31,808  40,308  40,308  40,308  48,808  57,308  57,308  65,808  65,808  74,308  74,308  82,808  99,808  99,808  1       

8       0,061   0,061   0,061   0,061   0,161   0,161   0,161   0,161   0,161   0,261   0,261   0,261   0,361   0,361   0,361   0,361   0,661   0,661   0,961   1,061   1,261   1       

9       6,727   15,027  15,027  23,327  23,327  23,327  23,327  23,327  31,627  39,927  48,227  56,527  56,527  56,527  56,527  64,827  73,127  73,127  73,127  81,427  98,027  1       

10      0,068   0,068   0,068   0,068   0,068   0,168   0,168   0,168   0,168   0,168   0,268   0,368   0,368   0,468   0,468   0,468   0,468   0,568   0,668   0,768   1,268   1       

11      11,568  11,568  11,568  19,468  19,468  19,468  35,268  35,268  43,168  51,068  51,068  58,968  58,968  66,868  66,868  74,768  74,768  74,768  90,568  90,568  98,468  1       

12      0,065   0,065   0,065   0,065   0,065   0,065   0,165   0,165   0,165   0,165   0,265   0,265   0,265   0,365   0,365   0,465   0,565   0,565   0,665   0,865   0,865   1       

13      5,567   5,567   13,367  52,367  60,167  60,167  60,167  60,167  67,967  67,967  67,967  75,767  83,567  83,567  83,567  83,567  83,567  83,567  83,567  83,567  91,367  1       

14      0,092   0,092   0,092   0,092   0,092   0,092   0,092   0,092   0,092   0,092   0,092   0,092   0,192   0,192   0,192   0,192   0,192   0,192   0,592   0,892   1,392   0       

15      4,831   4,831   4,831   13,031  13,031  21,231  21,231  21,231  29,431  29,431  37,631  45,831  45,831  54,031  62,231  62,231  70,431  70,431  86,831  86,831  95,031  1       

16      0,08    0,08    0,08    0,08    0,08    0,18    0,18    0,18    0,28    0,28    0,28    0,38    0,38    0,48    0,48    0,48    0,68    0,78    0,88    1,08    1,68    0       

17      13,197  20,797  28,397  28,397  28,397  35,997  35,997  43,597  43,597  51,197  51,197  51,197  51,197  51,197  51,197  51,197  66,397  66,397  73,997  89,197  96,797  1       

18      0,069   0,069   0,069   0,169   0,169   0,169   0,169   0,269   0,269   0,269   0,269   0,269   0,269   0,269   0,269   0,369   0,469   0,469   0,469   0,569   0,769   1       

19      4,651   13,551  22,451  22,451  22,451  40,251  49,151  49,151  58,051  58,051  58,051  66,951  66,951  75,851  75,851  84,751  84,751  93,651  93,651  93,651  102,551 1       

20      0,102   0,102   0,102   0,102   0,102   0,102   0,102   0,102   0,102   0,102   0,102   0,102   0,302   0,302   0,302   0,302   0,502   0,502   0,502   0,702   2,102   0       

21      6,709   6,709   6,709   6,709   6,709   15,509  15,509  33,109  41,909  41,909  41,909  41,909  50,709  68,309  68,309  77,109  77,109  77,109  85,909  94,709  103,509 1       

22      0,051   0,051   0,051   0,051   0,051   0,051   0,151   0,151   0,251   0,251   0,251   0,351   0,351   0,351   0,551   0,751   0,751   0,851   1,051   1,151   1,251   1       

23      6,506   6,506   15,106  15,106  23,706  32,306  32,306  32,306  32,306  40,906  49,506  49,506  58,106  66,706  66,706  75,306  83,906  92,506  92,506  92,506  101,106 1       

24      0,059   0,059   0,059   0,059   0,059   0,059   0,159   0,159   0,159   0,259   0,259   0,259   0,359   0,359   0,359   0,459   0,459   0,659   0,659   0,959   1,259   1       

25      17,948  17,948  17,948  17,948  25,248  25,248  32,548  39,848  54,448  54,448  61,748  69,048  69,048  76,348  83,648  83,648  83,648  90,948  90,948  98,248  98,248  1       

26      0,064   0,064   0,064   0,064   0,064   0,064   0,064   0,064   0,164   0,164   0,164   0,164   0,164   0,264   0,364   0,464   0,464   0,564   0,564   0,564   0,664   1       

27      12,261  12,261  20,061  27,861  27,861  43,461  43,461  43,461  51,261  51,261  66,861  66,861  66,861  66,861  74,661  74,661  74,661  74,661  90,261  90,261  98,061  1       

28      0,065   0,065   0,065   0,065   0,065   0,065   0,065   0,165   0,165   0,165   0,165   0,165   0,265   0,265   0,265   0,265   0,365   0,365   0,565   0,765   0,865   1       

29      14,442  14,442  22,042  22,042  22,042  22,042  22,042  29,642  37,242  44,842  44,842  52,442  52,442  67,642  67,642  75,242  75,242  75,242  82,842  82,842  98,042  1       

30      0,068   0,068   0,068   0,068   0,068   0,068   0,068   0,168   0,168   0,268   0,268   0,268   0,268   0,368   0,468   0,468   0,468   0,468   0,568   0,668   0,768   1       

31      9,577   18,077  18,077  26,577  26,577  35,077  35,077  35,077  35,077  35,077  35,077  52,077  60,577  60,577  60,577  69,077  77,577  86,077  94,577  94,577  103,077 1       

32      0,051   0,051   0,051   0,051   0,051   0,151   0,151   0,151   0,151   0,251   0,351   0,351   0,351   0,351   0,351   0,351   0,451   0,451   0,551   0,551   0,951   1       

33      9,486   9,486   17,886  26,286  26,286  26,286  34,686  43,086  43,086  51,486  51,486  59,886  68,286  68,286  76,686  76,686  76,686  76,686  85,086  93,486  101,886 1       

34      0,055   0,055   0,055   0,055   0,055   0,055   0,055   0,155   0,155   0,155   0,155   0,255   0,255   0,255   0,355   0,455   0,455   0,455   0,655   0,755   0,955   1       

35      6,32    6,32    6,32    6,32    22,52   22,52   30,62   30,62   30,62   54,92   63,02   71,12   71,12   79,22   79,22   79,22   87,32   87,32   87,32   95,42   95,42   1       

36      0,075   0,075   0,075   0,075   0,075   0,075   0,075   0,075   0,075   0,175   0,175   0,175   0,375   0,375   0,375   0,475   0,575   0,775   0,775   1,275   1,275   1       

37      9,604   9,604   9,604   34,804  34,804  34,804  34,804  43,204  43,204  60,004  60,004  60,004  60,004  68,404  68,404  68,404  76,804  85,204  93,604  93,604  102,004 1       

38      0,054   0,054   0,054   0,054   0,054   0,154   0,154   0,154   0,154   0,154   0,154   0,154   0,254   0,254   0,354   0,354   0,354   0,354   0,754   0,954   0,954   1       

39      7,878   16,478  25,078  25,078  25,078  25,078  25,078  25,078  33,678  33,678  33,678  42,278  42,278  50,878  50,878  59,478  59,478  68,078  76,678  85,278  102,478 1       

40      0,052   0,052   0,052   0,152   0,152   0,152   0,252   0,252   0,252   0,252   0,352   0,352   0,352   0,452   0,452   0,452   0,452   0,452   0,452   0,652   1,152   0       

41      4,838   4,838   12,838  20,838  20,838  20,838  28,838  28,838  36,838  44,838  52,838  52,838  60,838  60,838  68,838  68,838  68,838  76,838  76,838  84,838  92,838  1       

42      0,085   0,085   0,085   0,085   0,085   0,085   0,085   0,185   0,185   0,185   0,285   0,285   0,285   0,385   0,485   0,485   0,485   0,585   0,785   0,785   1,585   0       

43      9,23    9,23    9,23    17,33   17,33   17,33   25,43   33,53   41,63   41,63   57,83   57,83   65,93   65,93   74,03   74,03   82,13   82,13   82,13   90,23   98,33   1       

44      0,066   0,066   0,066   0,066   0,066   0,066   0,066   0,166   0,166   0,166   0,166   0,266   0,266   0,366   0,466   0,566   0,566   0,566   0,766   0,866   0,966   1       

45      5,196   5,196   5,196   5,196   22,396  22,396  30,996  30,996  39,596  48,196  48,196  48,196  56,796  65,396  73,996  73,996  82,596  82,596  82,596  91,196  99,796  1       

46      0,063   0,063   0,063   0,063   0,063   0,063   0,163   0,163   0,163   0,263   0,263   0,263   0,263   0,363   0,363   0,463   0,463   0,763   1,063   1,163   1,563   1       

47      7,342   15,942  33,142  33,142  33,142  41,742  50,342  50,342  50,342  50,342  58,942  58,942  67,542  67,542  67,542  76,142  84,742  84,742  93,342  93,342  101,942 1       

48      0,054   0,054   0,054   0,054   0,054   0,054   0,154   0,154   0,154   0,154   0,154   0,254   0,254   0,254   0,254   0,254   0,354   0,354   0,354   0,654   1,154   0       

49      12,573  20,573  20,573  28,573  28,573  36,573  36,573  36,573  36,573  44,573  44,573  44,573  52,573  52,573  52,573  60,573  68,573  68,573  84,573  92,573  100,573 1       

50      0,06    0,06    0,06    0,16    0,16    0,16    0,16    0,16    0,26    0,26    0,26    0,26    0,26    0,26    0,36    0,36    0,36    0,46    0,46    0,56    0,86    1       

51      8,046   8,046   16,546  16,546  33,546  42,046  42,046  42,046  42,046  42,046  42,046  50,546  50,546  59,046  67,546  67,546  67,546  76,046  93,046  93,046  101,546 1       

52      0,056   0,056   0,056   0,156   0,156   0,156   0,156   0,156   0,156   0,256   0,256   0,256   0,256   0,256   0,256   0,356   0,356   0,556   0,656   0,756   1,056   1       

53      12,241  12,241  19,041  25,841  25,841  25,841  32,641  32,641  39,441  39,441  46,241  46,241  46,241  53,041  59,841  59,841  59,841  73,441  80,241  80,241  87,041  1       

54      0,105   0,105   0,105   0,105   0,205   0,205   0,205   0,205   0,205   0,305   0,305   0,305   0,305   0,405   0,405   0,405   0,405   0,505   0,505   0,705   0,805   1       

55      7,263   7,263   7,263   24,463  24,463  50,263  50,263  50,263  58,863  58,863  58,863  67,463  67,463  67,463  84,663  84,663  93,263  93,263  93,263  93,263  101,863 1       

56      0,054   0,054   0,054   0,054   0,054   0,054   0,054   0,154   0,154   0,154   0,154   0,154   0,154   0,254   0,254   0,254   0,454   0,454   0,954   0,954   1,154   1       

57      8,174   16,474  33,074  33,074  41,374  49,674  57,974  57,974  57,974  57,974  66,274  66,274  66,274  74,574  74,574  82,874  82,874  91,174  91,174  91,174  99,474  1       

58      0,061   0,061   0,061   0,061   0,061   0,061   0,061   0,061   0,161   0,161   0,161   0,161   0,161   0,161   0,161   0,261   0,261   0,361   0,361   0,561   1,061   0       

59      8,026   16,626  16,626  16,626  25,226  25,226  33,826  33,826  33,826  33,826  33,826  33,826  42,426  42,426  51,026  59,626  68,226  76,826  94,026  94,026  102,626 1       

60      0,051   0,051   0,051   0,051   0,151   0,151   0,251   0,251   0,251   0,351   0,351   0,351   0,351   0,351   0,351   0,451   0,451   0,551   0,551   0,651   1,051   1       

61      4,675   4,675   4,675   4,675   13,575  22,475  40,275  40,275  40,275  49,175  49,175  58,075  75,875  75,875  75,875  75,875  75,875  84,775  93,675  93,675  102,575 1       

62      0,104   0,104   0,104   0,104   0,104   0,104   0,104   0,104   0,104   0,104   0,304   0,304   0,304   0,304   0,304   0,504   0,704   0,904   1,104   1,504   2,104   0       

63      4,946   4,946   4,946   13,646  22,346  31,046  31,046  31,046  39,746  39,746  39,746  48,446  48,446  48,446  57,146  57,146  74,546  83,246  83,246  91,946  100,646 1       

64      0,107   0,107   0,107   0,107   0,107   0,107   0,107   0,307   0,307   0,307   0,307   0,307   0,307   0,307   0,507   0,507   0,507   0,707   0,907   1,307   1,707   0       

65      11,86   18,96   26,06   26,06   33,16   33,16   40,26   40,26   40,26   47,36   47,36   47,36   54,46   54,46   61,56   61,56   68,66   68,66   68,66   75,76   89,96   1       

66      0,095   0,095   0,095   0,095   0,095   0,195   0,195   0,195   0,195   0,295   0,295   0,295   0,295   0,295   0,295   0,295   0,395   0,395   0,395   0,595   0,795   1       

67      4,471   4,471   13,171  13,171  13,171  21,871  21,871  30,571  39,271  39,271  47,971  47,971  56,671  56,671  74,071  74,071  74,071  82,771  82,771  91,471  100,171 1       

68      0,111   0,111   0,111   0,111   0,111   0,111   0,111   0,111   0,111   0,311   0,311   0,311   0,311   0,311   0,511   0,511   0,711   0,711   0,711   0,911   2,311   0       

69      10,613  10,613  10,613  18,913  18,913  18,913  27,213  27,213  43,813  52,113  52,113  52,113  60,413  68,713  77,013  85,313  85,313  85,313  93,613  93,613  101,913 1       

70      0,053   0,053   0,053   0,053   0,053   0,053   0,053   0,153   0,153   0,253   0,253   0,253   0,253   0,353   0,453   0,553   0,553   0,653   0,753   0,853   0,953   1       

71      7,922   7,922   7,922   16,522  16,522  25,122  25,122  33,722  42,322  50,922  50,922  59,522  59,522  59,522  59,522  68,122  76,722  76,722  76,722  93,922  102,522 1       

72      0,051   0,051   0,051   0,051   0,151   0,151   0,151   0,151   0,151   0,151   0,251   0,251   0,351   0,351   0,451   0,451   0,551   0,551   0,951   0,951   1,151   1       

73      4,794   4,794   20,994  20,994  37,194  37,194  37,194  37,194  45,294  45,294  53,394  61,494  69,594  69,594  77,694  77,694  85,794  85,794  85,794  85,794  93,894  1       

74      0,081   0,081   0,081   0,081   0,081   0,081   0,081   0,081   0,081   0,181   0,181   0,281   0,281   0,281   0,381   0,381   0,381   0,581   0,581   0,981   1,681   0       

75      4,403   4,403   4,403   4,403   12,303  12,303  28,103  28,103  28,103  36,003  36,003  36,003  43,903  59,703  59,703  59,703  67,603  75,503  83,403  83,403  91,303  1       

76      0,143   0,143   0,143   0,143   0,143   0,143   0,143   0,143   0,343   0,343   0,343   0,343   0,343   0,343   0,343   0,543   0,543   0,943   0,943   1,343   1,743   0       

77      10,097  17,897  25,697  25,697  33,497  41,297  41,297  49,097  49,097  49,097  49,097  56,897  56,897  56,897  56,897  64,697  64,697  72,497  80,297  88,097  95,897  1       

78      0,076   0,076   0,076   0,076   0,176   0,176   0,176   0,176   0,176   0,176   0,176   0,276   0,276   0,276   0,276   0,276   0,376   0,476   0,476   0,576   0,976   0       

79      5,653   5,653   5,653   23,053  23,053  31,753  31,753  31,753  31,753  40,453  40,453  49,153  57,853  57,853  66,553  75,253  83,953  83,953  92,653  92,653  101,353 1       

80      0,057   0,057   0,057   0,057   0,057   0,157   0,157   0,157   0,157   0,257   0,357   0,357   0,357   0,357   0,357   0,357   0,457   0,557   0,857   1,357   1,457   0       

81      11,069  18,569  18,569  26,069  26,069  26,069  41,069  48,569  56,069  56,069  63,569  63,569  63,569  78,569  78,569  78,569  78,569  78,569  78,569  86,069  93,569  1       

82      0,084   0,084   0,084   0,084   0,084   0,084   0,084   0,084   0,084   0,184   0,184   0,184   0,184   0,284   0,284   0,384   0,484   0,484   0,584   0,584   0,884   1       

83      9,044   9,044   9,044   17,344  25,644  25,644  25,644  33,944  42,244  58,844  58,844  58,844  67,144  75,444  83,744  83,744  83,744  92,044  92,044  92,044  100,344 1       

84      0,061   0,061   0,061   0,061   0,061   0,061   0,061   0,061   0,161   0,161   0,161   0,161   0,261   0,361   0,461   0,461   0,461   0,661   0,761   0,861   0,961   1       

85      9,165   9,165   9,165   17,565  17,565  25,965  25,965  34,365  42,765  51,165  51,165  51,165  59,565  67,965  76,365  76,365  76,365  84,765  84,765  93,165  101,565 1       

86      0,056   0,056   0,056   0,056   0,056   0,056   0,056   0,156   0,156   0,256   0,256   0,256   0,256   0,356   0,356   0,456   0,656   0,656   0,756   0,756   0,956   1       

87      5,949   14,449  22,949  22,949  31,449  31,449  31,449  56,949  56,949  56,949  65,449  65,449  73,949  73,949  73,949  73,949  82,449  90,949  90,949  90,949  99,449  1       

88      0,064   0,064   0,064   0,064   0,064   0,064   0,064   0,064   0,064   0,164   0,164   0,164   0,164   0,164   0,364   0,364   0,364   0,464   0,564   0,764   1,364   0       

89      17,157  17,157  23,757  23,757  30,357  30,357  30,357  30,357  36,957  36,957  36,957  43,557  43,557  50,157  56,757  69,957  69,957  76,557  76,557  76,557  89,757  1       

90      0,097   0,097   0,097   0,097   0,097   0,097   0,197   0,197   0,297   0,297   0,297   0,297   0,397   0,397   0,397   0,397   0,397   0,497   0,497   0,697   0,697   1       

91      4,636   12,336  20,036  20,036  27,736  35,436  43,136  43,136  50,836  58,536  58,536  58,536  66,236  66,236  66,236  66,236  73,936  73,936  81,636  81,636  89,336  1       

92      0,098   0,098   0,098   0,098   0,098   0,098   0,098   0,098   0,198   0,198   0,198   0,198   0,198   0,298   0,298   0,398   0,398   0,498   0,598   0,698   1,598   0       

93      6,448   6,448   23,648  23,648  23,648  32,248  40,848  49,448  49,448  49,448  58,048  58,048  66,648  75,248  75,248  83,848  83,848  92,448  92,448  101,048 101,048 1       

94      0,057   0,057   0,057   0,057   0,057   0,057   0,057   0,057   0,157   0,157   0,157   0,257   0,257   0,257   0,357   0,357   0,457   0,457   0,557   1,057   1,257   0       

95      16,088  16,088  16,088  46,088  46,088  53,588  53,588  53,588  61,088  61,088  68,588  68,588  68,588  68,588  76,088  76,088  91,088  91,088  91,088  98,588  98,588  1       

96      0,066   0,066   0,066   0,066   0,066   0,066   0,066   0,066   0,166   0,166   0,166   0,166   0,166   0,166   0,166   0,266   0,266   0,266   0,566   0,666   0,666   1       

97      4,619   30,719  30,719  39,419  39,419  48,119  56,819  56,819  65,519  65,519  65,519  74,219  82,919  82,919  82,919  82,919  91,619  91,619  91,619  91,619  100,319 1       

98      0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,112   0,312   0,312   0,312   0,312   0,512   1,912   0       

99      11,987  11,987  11,987  11,987  20,187  20,187  20,187  20,187  28,387  28,387  44,787  44,787  61,187  61,187  69,387  69,387  77,587  77,587  85,787  93,987  102,187 1       

100     0,052   0,052   0,052   0,052   0,052   0,152   0,152   0,152   0,152   0,252   0,252   0,352   0,452   0,552   0,552   0,552   0,552   0,652   0,652   0,752   0,852   1       

